# Symbiote 1.1.3 硬编码玩法数值全表（166 项）
# 提取 2026-09-11 K3，javap -v com.scout.symbiote.config.SymbioteConfig，lambda 供应器常量
# 这些值不在 toml 中暴露，改不了；仅供数值对齐与设计引用。ticks: 20t=1s

BOND_MAX                                 = 500
BOND_KILL_HOSTILE                        = 1
BOND_FEED                                = 1
BOND_SLEEP                               = 2
BOND_CLUTCH_SAVE                         = 2
BOND_PASSIVE_KILL                        = 1
BOND_FIRE_DAMAGE                         = 1
TRUST_COMMAND_OBEYED                     = 1
TRUST_COMMAND_IGNORED                    = 2
TRUST_OVERRIDE_HELPED                    = 3
TRUST_OVERRIDE_HURT                      = 4
HUNGER_DRAIN_PER_DAY                     = 25
HUNGER_PER_RAW_MEAT                      = 15
HUNGER_PER_HOSTILE_KILL                  = 5
HUNGER_STARVE_THRESHOLD                  = 15
STRESS_FIRE_PER_TICK                     = 4
STRESS_LOW_HP_PER_TICK                   = 1
STRESS_DECAY_PER_TICK                    = 1
STRESS_DECAY_INTERVAL                    = 60
STRESS_HIGH_THRESHOLD                    = 70
DEFIANCE_BASE_CHANCE                     = 0.25
DEFIANCE_ACTION_INTERVAL_TICKS           = 600
DOMINANT_OVERRIDE_INTENSITY              = 1.6
COOPERATIVE_OVERRIDE_INTENSITY           = 1.25
FRENZY_DURATION_TICKS                    = 100
FRENZY_COOLDOWN_TICKS                    = 1200
APEX_DURATION_TICKS                      = 200
APEX_COOLDOWN_TICKS                      = 2400
TENDRIL_LASH_COOLDOWN_TICKS              = 60
TENDRIL_LASH_RANGE                       = 4.5
CARAPACE_DURATION_TICKS                  = 80
CARAPACE_COOLDOWN_TICKS                  = 400
INSTABILITY_DURATION_TICKS               = 24000
CREEPER_SAVE_RANGE                       = 4.0
CREEPER_SAVE_MIN_HP_FRAC                 = 0.6
LOW_HEALTH_OVERRIDE_HP_FRAC              = 0.2
FIRE_PANIC_RANGE                         = 3
OVERRIDE_GLOBAL_COOLDOWN_TICKS           = 40
HUNGER_OVERRIDE_SEARCH_RANGE             = 8.0
TENDRIL_YANK_RANGE                       = 8
TENDRIL_YANK_COOLDOWN_TICKS              = 40
PREDATOR_SENSE_RANGE                     = 12
WALL_CLING_DURATION_TICKS                = 100
LIVING_ARMOR_STAMINA_MAX                 = 100
LIVING_ARMOR_DR_INTEGRATED               = 0.5
LIVING_ARMOR_DR_COOPERATIVE              = 0.65
LIVING_ARMOR_DR_DOMINANT                 = 0.8
LIVING_ARMOR_HUNGER_INTERVAL             = 70
LIVING_ARMOR_AUTOLASH_INTERVAL           = 45
LIVING_ARMOR_AUTOLASH_DAMAGE             = 3.0
LIVING_ARMOR_AUTOLASH_RANGE              = 5.0
LIVING_ARMOR_THORNS_DAMAGE               = 3.0
LIVING_ARMOR_TOGGLE_COOLDOWN_TICKS       = 80
